id,name,displayName,displayNameEn,template,subTemplate,theme,bundleId,category,targetApp,difficulty,description
22,"wareki-converter","和暦西暦変換","Japanese Era Converter","utility","converter","pastel-dream","com.massapp.warekiconverter","Utility","Japanese era apps (¥100-300)",1,"令和・平成・昭和・大正・明治と西暦を相互変換"
23,"frequency-converter","周波数変換","Frequency Converter","utility","converter","mint-fresh","com.massapp.frequencyconverter","Utility","Unit converters ($2-5)",1,"Hz、kHz、MHz、GHz等の周波数を変換"
24,"density-converter","密度変換","Density Converter","utility","converter","coral-reef","com.massapp.densityconverter","Utility","Unit converters ($2-5)",1,"kg/m³、g/cm³、lb/ft³等の密度を変換"
25,"force-converter","力の変換","Force Converter","utility","converter","warm-orange","com.massapp.forceconverter","Utility","Unit converters ($2-5)",1,"ニュートン、kgf、ポンドフォース等を変換"
26,"torque-converter","トルク変換","Torque Converter","utility","converter","monochrome","com.massapp.torqueconverter","Utility","Convertible ($2.99)",1,"N·m、kgf·m、ft·lbs等のトルクを変換"
27,"flow-rate-converter","流量変換","Flow Rate Converter","utility","converter","ocean-blue","com.massapp.flowrateconverter","Utility","Unit converters ($2-5)",1,"L/min、m³/h、GPM等の流量を変換"
28,"illuminance-converter","照度変換","Illuminance Converter","utility","converter","forest-green","com.massapp.illuminanceconverter","Utility","Unit converters ($2-5)",1,"ルクス、フートカンデラ等の照度を変換"
29,"roman-numeral-converter","ローマ数字変換","Roman Numeral Converter","utility","converter","sunset-purple","com.massapp.romannumeralconverter","Utility","Various converters ($1-2)",1,"アラビア数字とローマ数字を相互変換"
30,"all-unit-converter","万能単位変換","All-in-One Converter","utility","converter","sakura-pink","com.massapp.allunitconverter","Utility","Convertible ($2.99)",2,"100種類以上の単位を一つのアプリで変換"
31,"bmi-calculator","BMI計算機","BMI Calculator","utility","calculator","midnight-navy","com.massapp.bmicalculator","Health","Health calculators ($1-3)",1,"身長と体重からBMIと適正体重を計算"
32,"loan-calculator","ローン計算機","Loan Calculator","utility","calculator","earth-brown","com.massapp.loancalculator","Finance","Karl's Mortgage ($1.99)",1,"住宅ローン・自動車ローンの返済額を計算"
33,"tax-calculator","消費税計算機","Sales Tax Calculator","utility","calculator","neon-cyber","com.massapp.taxcalculator","Finance","Tax calculators (¥100-300)",1,"税込・税抜価格を瞬時に計算（8%・10%対応）"
34,"tip-calculator","チップ計算機","Tip Calculator","utility","calculator","pastel-dream","com.massapp.tipcalculator","Utility","Tip Calculator Gold ($1.99)",1,"チップ金額と割り勘を簡単計算"
35,"age-calculator","年齢計算機","Age Calculator","utility","calculator","mint-fresh","com.massapp.agecalculator","Utility","Age calculators ($1-2)",1,"生年月日から正確な年齢・日数を計算"
36,"date-calculator","日数計算機","Date Calculator","utility","calculator","coral-reef","com.massapp.datecalculator","Utility","Date calculators ($1-3)",1,"2つの日付間の日数・営業日を計算"
37,"percentage-calculator","パーセント計算機","Percentage Calculator","utility","calculator","warm-orange","com.massapp.percentagecalculator","Utility","Various calculators ($1-3)",1,"割合・割引・増減のパーセント計算"
38,"discount-calculator","割引計算機","Discount Calculator","utility","calculator","monochrome","com.massapp.discountcalculator","Shopping","Shopping calculators ($1-2)",1,"割引率から最終価格を瞬時に計算"
39,"warikan-calculator","割り勘計算機","Bill Splitter","utility","calculator","ocean-blue","com.massapp.warikancalculator","Utility","Warikan apps (¥100-300)",1,"飲み会・食事の割り勘を人数別に計算"
40,"salary-calculator","給料計算機","Salary Calculator","utility","calculator","forest-green","com.massapp.salarycalculator","Finance","Salary calculators (¥300-500)",2,"額面から手取り、社会保険料、税金を計算"
41,"pension-calculator","年金計算機","Pension Calculator","utility","calculator","sunset-purple","com.massapp.pensioncalculator","Finance","Pension calculators (¥300-500)",2,"将来の年金受給額を試算"
42,"mortgage-calculator","住宅ローン計算機","Mortgage Calculator","utility","calculator","sakura-pink","com.massapp.mortgagecalculator","Finance","Mortgage Calc Plus ($4.99)",2,"住宅ローンの月々返済額と総支払額を計算"
43,"compound-interest-calc","複利計算機","Compound Interest Calculator","utility","calculator","midnight-navy","com.massapp.compoundinterestcalc","Finance","Financial calculators ($3-15)",1,"複利での資産増加をシミュレーション"
44,"calorie-calculator","カロリー計算機","Calorie Calculator","utility","calculator","earth-brown","com.massapp.caloriecalculator","Health","Health calculators ($1-5)",1,"基礎代謝量と1日の必要カロリーを計算"
45,"pregnancy-calculator","出産予定日計算","Due Date Calculator","utility","calculator","neon-cyber","com.massapp.pregnancycalculator","Health","Pregnancy apps ($2-5)",1,"最終月経日から出産予定日を計算"
46,"gpa-calculator","GPA計算機","GPA Calculator","utility","calculator","pastel-dream","com.massapp.gpacalculator","Education","GPA calculators ($1-3)",1,"成績からGPAを計算"
47,"electricity-cost-calc","電気代計算機","Electricity Cost Calculator","utility","calculator","mint-fresh","com.massapp.electricitycostcalc","Utility","Electricity calculators (¥100-300)",1,"家電の消費電力から月々の電気代を計算"
48,"scientific-calculator","関数電卓","Scientific Calculator","utility","calculator","coral-reef","com.massapp.scientificcalculator","Utility","PCalc ($9.99)",2,"三角関数・対数・累乗等の関数計算"
49,"matrix-calculator","行列計算機","Matrix Calculator","utility","calculator","warm-orange","com.massapp.matrixcalculator","Education","Math calculators ($3-10)",3,"行列の積・逆行列・行列式を計算"
50,"statistics-calculator","統計計算機","Statistics Calculator","utility","calculator","monochrome","com.massapp.statisticscalculator","Education","Soulver 3 ($14-20)",2,"平均・分散・標準偏差・中央値を計算"
51,"concrete-calculator","コンクリート計算","Concrete Calculator","utility","calculator","ocean-blue","com.massapp.concretecalculator","Utility","Construction calculators ($2-5)",1,"コンクリートの必要量と材料配合を計算"
52,"paint-calculator","ペンキ量計算","Paint Calculator","utility","calculator","forest-green","com.massapp.paintcalculator","Utility","Home improvement apps ($1-3)",1,"部屋の壁面積から必要なペンキ量を計算"
53,"fabric-calculator","生地量計算","Fabric Calculator","utility","calculator","sunset-purple","com.massapp.fabriccalculator","Utility","Sewing calculators ($1-3)",1,"裁縫に必要な生地の量を計算"
54,"investment-return-calc","投資利回り計算","Investment Return Calculator","utility","calculator","sakura-pink","com.massapp.investmentreturncalc","Finance","Financial calculators ($3-15)",2,"積立投資のリターンをシミュレーション"
55,"body-fat-calculator","体脂肪率計算","Body Fat Calculator","utility","calculator","midnight-navy","com.massapp.bodyfatcalculator","Health","Health calculators ($1-5)",1,"身体データから体脂肪率を推定"
56,"dog-age-calculator","犬の年齢計算","Dog Age Calculator","utility","calculator","earth-brown","com.massapp.dogagecalculator","Utility","Pet apps ($1-3)",1,"犬の年齢を人間年齢に換算"
57,"cat-age-calculator","猫の年齢計算","Cat Age Calculator","utility","calculator","neon-cyber","com.massapp.catagecalculator","Utility","Pet apps ($1-3)",1,"猫の年齢を人間年齢に換算"
58,"aspect-ratio-calc","アスペクト比計算","Aspect Ratio Calculator","utility","calculator","pastel-dream","com.massapp.aspectratiocalc","Utility","Design tools ($1-3)",1,"画像・動画のアスペクト比とリサイズ計算"
59,"subnet-calculator","サブネット計算機","Subnet Calculator","utility","calculator","mint-fresh","com.massapp.subnetcalculator","Utility","Network tools ($2-5)",2,"IPアドレスのサブネット計算"
60,"hex-calculator","16進電卓","Hex Calculator","utility","calculator","coral-reef","com.massapp.hexcalculator","Utility","Programmer calculators ($2-5)",2,"16進数の四則演算とビット演算"
61,"pomodoro-timer","ポモドーロタイマー","Pomodoro Timer","utility","timer","warm-orange","com.massapp.pomodorotimer","Productivity","Forest ($3.99)",1,"25分集中+5分休憩のポモドーロテクニック"
62,"hiit-timer","HIITタイマー","HIIT Timer","utility","timer","monochrome","com.massapp.hiittimer","Health","Interval Timer ($2-5)",1,"高強度インターバルトレーニング用タイマー"
63,"cooking-timer","クッキングタイマー","Cooking Timer","utility","timer","ocean-blue","com.massapp.cookingtimer","Food & Drink","Kitchen Timer ($1-3)",1,"複数の料理を同時にタイマー管理"
64,"meditation-timer","瞑想タイマー","Meditation Timer","utility","timer","forest-green","com.massapp.meditationtimer","Health","Meditation apps ($5-15/mo)",1,"ベル音付きの瞑想・マインドフルネスタイマー"
65,"study-timer","勉強タイマー","Study Timer","utility","timer","sunset-purple","com.massapp.studytimer","Education","Forest ($3.99)",1,"集中時間を記録する勉強専用タイマー"
66,"tabata-timer","タバタタイマー","Tabata Timer","utility","timer","sakura-pink","com.massapp.tabatatimer","Health","Tabata Timer ($2-5)",1,"20秒運動+10秒休憩のタバタ式タイマー"
67,"chess-clock","チェスクロック","Chess Clock","utility","timer","midnight-navy","com.massapp.chessclock","Games","Chess Clock ($1-3)",1,"対戦ゲーム用の2人対局タイマー"
68,"presentation-timer","プレゼンタイマー","Presentation Timer","utility","timer","earth-brown","com.massapp.presentationtimer","Productivity","Presentation Timer ($1-3)",1,"プレゼン用の大画面カウントダウン"
69,"brushing-timer","歯磨きタイマー","Tooth Brushing Timer","utility","timer","neon-cyber","com.massapp.brushingtimer","Health","Brushing timers ($1-2)",1,"子供も楽しめる歯磨き2分タイマー"
70,"egg-timer","ゆでたまごタイマー","Egg Timer","utility","timer","pastel-dream","com.massapp.eggtimer","Food & Drink","Egg Timer ($0.99)",1,"半熟・固ゆでを選んでタイマー開始"
71,"plank-timer","プランクタイマー","Plank Timer","utility","timer","mint-fresh","com.massapp.planktimer","Health","Fitness timers ($1-3)",1,"プランクチャレンジ用のタイマー"
72,"nap-timer","昼寝タイマー","Nap Timer","utility","timer","coral-reef","com.massapp.naptimer","Health","Sleep apps ($1-5)",1,"15/20/30分の昼寝用アラームタイマー"
73,"tea-timer","お茶タイマー","Tea Timer","utility","timer","warm-orange","com.massapp.teatimer","Food & Drink","Tea Timer ($0.99-2)",1,"茶葉の種類に合わせた蒸らし時間タイマー"
74,"stopwatch-pro","ストップウォッチ","Stopwatch Pro","utility","timer","monochrome","com.massapp.stopwatchpro","Utility","Stopwatch apps ($1-3)",1,"ラップタイム付きの高精度ストップウォッチ"
75,"countdown-widget","カウントダウン","Event Countdown","utility","timer","ocean-blue","com.massapp.countdownwidget","Utility","TheDayBefore ($2.99-4.99)",1,"イベントまでのカウントダウンを表示"
76,"interval-timer","インターバルタイマー","Interval Timer","utility","timer","forest-green","com.massapp.intervaltimer","Health","Interval timers ($2-5)",1,"運動と休憩の繰り返しタイマー"
77,"focus-timer","集中タイマー","Focus Timer","utility","timer","sunset-purple","com.massapp.focustimer","Productivity","Forest ($3.99)",2,"スマホを触らない時間を記録する集中タイマー"
78,"contraction-timer","陣痛タイマー","Contraction Timer","utility","timer","sakura-pink","com.massapp.contractiontimer","Health","Contraction timers ($1-3)",1,"陣痛の間隔と持続時間を記録"
79,"fasting-timer","断食タイマー","Fasting Timer","utility","timer","midnight-navy","com.massapp.fastingtimer","Health","Fasting apps ($5-10/mo)",1,"16:8等のインターミッテントファスティングタイマー"
80,"stretch-timer","ストレッチタイマー","Stretch Timer","utility","timer","earth-brown","com.massapp.stretchtimer","Health","Yoga/stretch apps ($3-10)",1,"部位別ストレッチのインターバルタイマー"
81,"tally-counter","タリーカウンター","Tally Counter","utility","counter","neon-cyber","com.massapp.tallycounter","Utility","Tally Counter ($1-3)",1,"タップで数を数えるシンプルカウンター"
82,"score-keeper","スコアキーパー","Score Keeper","utility","counter","pastel-dream","com.massapp.scorekeeper","Games","Score Counter ($1-3)",1,"ボードゲーム・スポーツのスコアを記録"
83,"lap-counter","ラップカウンター","Lap Counter","utility","counter","mint-fresh","com.massapp.lapcounter","Health","Lap counters ($1-2)",1,"周回数をカウント（プール、ランニング）"
84,"pitch-counter","球数カウンター","Pitch Counter","utility","counter","coral-reef","com.massapp.pitchcounter","Sports","Baseball counters ($1-3)",1,"野球の投球数・ストライク・ボールを記録"
85,"knitting-counter","編み物カウンター","Knitting Counter","utility","counter","warm-orange","com.massapp.knittingcounter","Utility","Knit counters ($1-2)",1,"編み目・段数をカウント"
86,"prayer-counter","念仏カウンター","Prayer Counter","utility","counter","monochrome","com.massapp.prayercounter","Lifestyle","Prayer counters ($1-3)",1,"念仏・お経の回数をカウント"
87,"blood-pressure-log","血圧記録","Blood Pressure Log","utility","counter","ocean-blue","com.massapp.bloodpressurelog","Health","BP trackers ($2-5)",1,"血圧と脈拍を記録・グラフ表示"
88,"multi-counter","マルチカウンター","Multi Counter","utility","counter","forest-green","com.massapp.multicounter","Utility","Counter apps ($1-3)",1,"複数のカウンターを同時に管理"
89,"step-counter","歩数カウンター","Step Counter","utility","counter","sunset-purple","com.massapp.stepcounter","Health","Pedometers ($1-3)",1,"日々の歩数を記録・目標設定"
90,"dice-roller","サイコロ","Dice Roller","utility","counter","sakura-pink","com.massapp.diceroller","Games","Dice apps ($0.99-2)",1,"様々な面数のサイコロを振る"
91,"white-noise","ホワイトノイズ","White Noise","utility","sound","midnight-navy","com.massapp.whitenoise","Health","White Noise ($1-5)",2,"ホワイトノイズ・ピンクノイズで集中・睡眠"
92,"rain-sounds","雨の音","Rain Sounds","utility","sound","earth-brown","com.massapp.rainsounds","Health","Sleep sounds ($2-5)",2,"雨・雷・嵐のリラックスサウンド"
93,"ocean-sounds","海の音","Ocean Sounds","utility","sound","neon-cyber","com.massapp.oceansounds","Health","Sleep sounds ($2-5)",2,"波の音・海辺の環境音"
94,"forest-sounds","森の音","Forest Sounds","utility","sound","pastel-dream","com.massapp.forestsounds","Health","Nature sounds ($2-5)",2,"小鳥のさえずり・森の環境音"
95,"cafe-sounds","カフェの音","Cafe Sounds","utility","sound","mint-fresh","com.massapp.cafesounds","Productivity","Coffitivity ($1-3)",2,"カフェの雑音で集中力アップ"
96,"fireplace-sounds","暖炉の音","Fireplace Sounds","utility","sound","coral-reef","com.massapp.fireplacesounds","Health","Relaxation apps ($2-5)",2,"パチパチ燃える暖炉のサウンド"
97,"wind-sounds","風の音","Wind Sounds","utility","sound","warm-orange","com.massapp.windsounds","Health","Nature sounds ($2-5)",2,"そよ風・強風・風鈴の音"
98,"river-sounds","川の音","River Sounds","utility","sound","monochrome","com.massapp.riversounds","Health","Nature sounds ($2-5)",2,"せせらぎ・滝・渓流の音"
99,"night-sounds","夜の音","Night Sounds","utility","sound","ocean-blue","com.massapp.nightsounds","Health","Sleep sounds ($2-5)",2,"虫の声・コオロギ・夜の環境音"
100,"cat-purr-sounds","猫のゴロゴロ","Cat Purr Sounds","utility","sound","forest-green","com.massapp.catpurrsounds","Health","ASMR apps ($1-3)",2,"猫のゴロゴロ音でリラックス"
101,"train-sounds","電車の音","Train Sounds","utility","sound","sunset-purple","com.massapp.trainsounds","Health","ASMR apps ($1-3)",2,"電車の走行音・踏切の音"
102,"city-sounds","都会の音","City Ambience","utility","sound","sakura-pink","com.massapp.citysounds","Health","Ambient sounds ($2-5)",2,"都会の喧騒・交通の環境音"
103,"baby-sleep-sounds","赤ちゃん寝かしつけ音","Baby Sleep Sounds","utility","sound","midnight-navy","com.massapp.babysleepsounds","Health","Baby sleep apps ($2-5)",2,"赤ちゃんが眠るホワイトノイズ・子守唄"
104,"sound-mixer","サウンドミキサー","Sound Mixer","utility","sound","earth-brown","com.massapp.soundmixer","Health","Noisli ($1-10)",3,"複数の環境音をミックスして自分だけのサウンドを作成"
105,"binaural-beats","バイノーラルビート","Binaural Beats","utility","sound","neon-cyber","com.massapp.binauralbeats","Health","Brain.fm ($6-7/mo)",2,"集中・リラックス・睡眠用のバイノーラルビート"
106,"rokuyo-calendar","六曜カレンダー","Rokuyo Calendar","utility","reference","pastel-dream","com.massapp.rokuyocalendar","Utility","CalCs (¥100)",1,"大安・仏滅・友引等の六曜を確認"
107,"nenrei-hayami","年齢早見表","Age Lookup Table","utility","reference","mint-fresh","com.massapp.nenreihayami","Utility","Japanese age apps (¥100-300)",1,"生まれ年から年齢・干支・学年を一覧表示"
108,"eto-calculator","干支計算","Chinese Zodiac","utility","reference","coral-reef","com.massapp.etocalculator","Utility","Zodiac apps (¥100-300)",1,"十二支・十干を確認する干支計算"
109,"keigo-guide","敬語ガイド","Keigo Guide","utility","reference","warm-orange","com.massapp.keigoguide","Education","Keigo apps (¥300-500)",1,"ビジネス敬語の正しい使い方辞典"
110,"kankon-sosai","冠婚葬祭マナー","Etiquette Guide","utility","reference","monochrome","com.massapp.kankonsosai","Lifestyle","Manner apps (¥300-500)",1,"結婚式・葬儀・お祝いのマナー辞典"
111,"noshi-guide","のし袋の書き方","Gift Envelope Guide","utility","reference","ocean-blue","com.massapp.noshiguide","Lifestyle","Noshi apps (¥100-300)",1,"のし袋の表書き・金額の書き方ガイド"
112,"kanji-stroke-order","漢字筆順辞典","Kanji Stroke Order","utility","reference","forest-green","com.massapp.kanjistrokeorder","Education","常用漢字筆順辞典 (¥600)",2,"漢字の正しい筆順をアニメーションで表示"
113,"yojijukugo-dict","四字熟語辞典","Yojijukugo Dictionary","utility","reference","sunset-purple","com.massapp.yojijukugodict","Education","Yojijukugo apps (¥300-500)",1,"四字熟語の意味・由来・使い方を検索"
114,"kotowaza-dict","ことわざ辞典","Proverb Dictionary","utility","reference","sakura-pink","com.massapp.kotowazadict","Education","Kotowaza apps (¥100-300)",1,"日本語のことわざ・慣用句を検索"
115,"hyakunin-isshu","百人一首","Hyakunin Isshu","utility","reference","midnight-navy","com.massapp.hyakuninisshu","Education","Hyakunin Isshu apps (¥300-600)",1,"百人一首の全100首を鑑賞・暗記"
116,"color-palette","カラーパレット","Color Palette","utility","reference","earth-brown","com.massapp.colorpalette","Utility","Color tools ($1-5)",1,"和色・Webカラーのカラーパレット辞典"
117,"ascii-table","ASCII表","ASCII Table","utility","reference","neon-cyber","com.massapp.asciitable","Utility","Dev tools ($1-3)",1,"ASCII/Unicodeコード表の参照ツール"
118,"periodic-table","元素周期表","Periodic Table","utility","reference","pastel-dream","com.massapp.periodictable","Education","Periodic Table apps ($1-3)",1,"元素の詳細情報付き周期表"
119,"morse-code","モールス信号","Morse Code","utility","reference","mint-fresh","com.massapp.morsecode","Education","Morse code apps ($1-2)",1,"モールス信号の変換と学習"
120,"world-holidays","世界の祝日","World Holidays","utility","reference","coral-reef","com.massapp.worldholidays","Utility","Holiday apps ($1-3)",1,"各国の祝日・記念日カレンダー"
121,"blood-type-guide","血液型ガイド","Blood Type Guide","utility","reference","warm-orange","com.massapp.bloodtypeguide","Lifestyle","Blood type apps (¥100-300)",1,"血液型別の性格・相性診断"
122,"hanakotoba","花言葉辞典","Flower Language Dictionary","utility","reference","monochrome","com.massapp.hanakotoba","Lifestyle","Flower language apps (¥100-300)",1,"花言葉・誕生花を検索"
123,"birthstone-guide","誕生石ガイド","Birthstone Guide","utility","reference","ocean-blue","com.massapp.birthstoneguide","Lifestyle","Birthstone apps (¥100-200)",1,"月ごとの誕生石とその意味"
124,"constellation-guide","星座ガイド","Constellation Guide","utility","reference","forest-green","com.massapp.constellationguide","Education","SkyView ($1.99)",1,"88星座の解説と見つけ方"
125,"first-aid-guide","応急処置ガイド","First Aid Guide","utility","reference","sunset-purple","com.massapp.firstaidguide","Health","First aid apps ($1-5)",1,"緊急時の応急処置方法を解説"
126,"habit-tracker","習慣トラッカー","Habit Tracker","lifestyle","tracker","sakura-pink","com.massapp.habittracker","Productivity","Streaks ($4.99)",2,"毎日の習慣を記録・連続日数を表示"
127,"water-tracker","水分記録","Water Tracker","lifestyle","tracker","midnight-navy","com.massapp.watertracker","Health","Water trackers ($2-5)",1,"1日の水分摂取量を記録・目標管理"
128,"weight-tracker","体重記録","Weight Tracker","lifestyle","tracker","earth-brown","com.massapp.weighttracker","Health","Weight trackers ($2-5)",2,"体重の推移をグラフで可視化"
129,"mood-tracker","気分記録","Mood Tracker","lifestyle","tracker","neon-cyber","com.massapp.moodtracker","Health","Mood apps ($2-5/mo)",2,"毎日の気分・感情を記録・分析"
130,"sleep-tracker","睡眠記録","Sleep Tracker","lifestyle","tracker","pastel-dream","com.massapp.sleeptracker","Health","AutoSleep (¥900)",2,"就寝・起床時間と睡眠の質を記録"
131,"medicine-tracker","お薬リマインダー","Medicine Reminder","lifestyle","tracker","mint-fresh","com.massapp.medicinetracker","Health","Medicine trackers ($2-5)",2,"薬の服用スケジュールを管理・リマインド"
132,"reading-tracker","読書記録","Reading Tracker","lifestyle","tracker","coral-reef","com.massapp.readingtracker","Education","Bookly ($5/mo)",2,"読んだ本・ページ数・感想を記録"
133,"pet-tracker","ペット記録","Pet Care Tracker","lifestyle","tracker","warm-orange","com.massapp.pettracker","Lifestyle","PetNote+ (¥450-750/mo)",2,"ペットの食事・通院・体重を記録"
134,"plant-tracker","植物記録","Plant Tracker","lifestyle","tracker","monochrome","com.massapp.planttracker","Lifestyle","Planta ($35.99/yr)",2,"植物の水やり・肥料スケジュールを管理"
135,"baby-tracker","育児記録","Baby Tracker","lifestyle","tracker","ocean-blue","com.massapp.babytracker","Health","ぴよログ (¥400/mo)",2,"授乳・おむつ・睡眠を記録"
136,"period-tracker","生理日記録","Period Tracker","lifestyle","tracker","forest-green","com.massapp.periodtracker","Health","Period trackers ($2-5/mo)",2,"生理日・排卵日・体調を予測・記録"
137,"workout-tracker","筋トレ記録","Workout Tracker","lifestyle","tracker","sunset-purple","com.massapp.workouttracker","Health","Strong ($5-10/mo)",2,"筋トレの種目・重量・セット数を記録"
138,"running-log","ランニング記録","Running Log","lifestyle","tracker","sakura-pink","com.massapp.runninglog","Health","Running apps ($5-10/mo)",2,"ランニングの距離・時間・ペースを記録"
139,"cigarette-tracker","禁煙カウンター","Quit Smoking Tracker","lifestyle","tracker","midnight-navy","com.massapp.cigarettetracker","Health","Quit smoking apps ($2-5)",2,"禁煙日数・節約金額を記録"
140,"alcohol-tracker","お酒記録","Alcohol Tracker","lifestyle","tracker","earth-brown","com.massapp.alcoholtracker","Health","Drink tracking apps ($2-5)",2,"飲酒量と休肝日を記録"
141,"caffeine-tracker","カフェイン記録","Caffeine Tracker","lifestyle","tracker","neon-cyber","com.massapp.caffeinetracker","Health","Caffeine apps ($1-3)",1,"1日のカフェイン摂取量を管理"
142,"cleaning-tracker","掃除記録","Cleaning Tracker","lifestyle","tracker","pastel-dream","com.massapp.cleaningtracker","Lifestyle","Tody ($30/yr)",2,"部屋ごとの掃除スケジュールを管理"
143,"savings-tracker","貯金トラッカー","Savings Tracker","lifestyle","tracker","mint-fresh","com.massapp.savingstracker","Finance","Loot ($2.99)",2,"貯金目標と進捗を可視化"
144,"subscription-tracker","サブスク管理","Subscription Tracker","lifestyle","tracker","coral-reef","com.massapp.subscriptiontracker","Finance","Subscription trackers ($2-5)",2,"月額サービスの支出を一括管理"
145,"birthday-tracker","誕生日管理","Birthday Tracker","lifestyle","tracker","warm-orange","com.massapp.birthdaytracker","Lifestyle","hip ($1.49/mo)",1,"家族・友人の誕生日をリマインド"
146,"simple-diary","シンプル日記","Simple Diary","lifestyle","log","monochrome","com.massapp.simplediary","Lifestyle","Day One ($49.99/yr)",2,"一日一言のシンプルな日記帳"
147,"gratitude-journal","感謝日記","Gratitude Journal","lifestyle","log","ocean-blue","com.massapp.gratitudejournal","Health","Gratitude ($4.99/mo)",2,"毎日の感謝を3つ書き留める日記"
148,"dream-journal","夢日記","Dream Journal","lifestyle","log","forest-green","com.massapp.dreamjournal","Lifestyle","Dream journals ($2-5)",2,"夢の内容を記録・カテゴリ分け"
149,"food-log","食事記録","Food Log","lifestyle","log","sunset-purple","com.massapp.foodlog","Health","Food diary apps ($3-10/mo)",2,"毎食の内容を写真付きで記録"
150,"wine-log","ワイン記録","Wine Log","lifestyle","log","sakura-pink","com.massapp.winelog","Food & Drink","Wine apps ($2-5)",2,"飲んだワインの銘柄・評価を記録"
151,"coffee-log","コーヒー記録","Coffee Log","lifestyle","log","midnight-navy","com.massapp.coffeelog","Food & Drink","Coffee journals ($1-3)",2,"コーヒー豆・淹れ方・味の記録"
152,"movie-log","映画記録","Movie Log","lifestyle","log","earth-brown","com.massapp.movielog","Entertainment","Movie trackers ($2-5)",2,"観た映画の感想と評価を記録"
